Amolika,Priceless
Ayushi,One with a long life
Pankaj,Lotus
Jotika,Light
Accusatival ,a.) Pertaining to the accusative case.,,,,,,
Accusative ,a.) Producing accusations; accusatory.,,,,,,
Accusative ,a.) Applied to the case ,"as the fourth case of Latin and Greek nouns) which expresses the immediate object on which the action or influence of a transitive verb terminates, or the immediate object of motion or tendency to, expressed by a preposition. It corresponds to the objective case in English.",,,,,
Accusative ,n.) The accusative case.,,,,,,
Accusatively ,adv.) In an accusative manner.,,,,,,
Accusatively ,adv.) In relation to the accusative case in grammar.,,,,,,
Accusatorial ,a.) Accusatory.,,,,,,
Accusatorially ,adv.) By way accusation.,,,,,,
Accusatory ,"a.) Pertaining to, or containing, an accusation; as, an accusatory libel.",,,,,,
Accuse ,n.) Accusation.,,,,,,
Accused ,imp. & p. p.) of Accuse,,,,,,
Accusing ,p. pr. & vb. n.) of Accuse,,,,,,
Accuse ,"v. t.) To charge with, or declare to have committed, a crime or offense",,,,,,
Accuse ,"v. t.) to charge with an offense, judicially or by a public process; -- with of; as, to accuse one of a high crime or misdemeanor.",,,,,,
Accuse ,v. t.) To charge with a fault; to blame; to censure.,,,,,,
Accuse ,v. t.) To betray; to show. [L.],,,,,,
Accused ,"a.) Charged with offense; as, an accused person.",,,,,,
Accusement ,n.) Accusation.,,,,,,
Accuser ,n.) One who accuses; one who brings a charge of crime or fault.,,,,,,
Accusingly ,adv.) In an accusing manner.,,,,,,
Accustomed ,imp. & p. p.) of Accustom,,,,,,
Accustoming ,p. pr. & vb. n.) of Accustom,,,,,,
Accustom ,"v. t.) To make familiar by use; to habituate, familiarize, or inure; -- with to.",,,,,,
Accustom ,v. i.) To be wont.,,,,,,
Accustom ,v. i.) To cohabit.,,,,,,
Accustom ,n.) Custom.,,,,,,
Accustomable ,a.) Habitual; customary; wonted.,,,,,,
Accustomably ,adv.) According to custom; ordinarily; customarily.,,,,,,
Accustomance ,n.) Custom; habitual use.,,,,,,
Accustomarily ,adv.) Customarily.,,,,,,
Accustomary ,a.) Usual; customary.,,,,,,
Accustomed ,a.) Familiar through use; usual; customary.,,,,,,
Accustomed ,a.) Frequented by customers.,,,,,,
Accustomedness ,n.) Habituation.,,,,,,
Aces ,pl. ) of Ace,,,,,,
Ace ,"n.) A unit; a single point or spot on a card or die; the card or die so marked; as, the ace of diamonds.",,,,,,
Ace ,n.) Hence: A very small quantity or degree; a particle; an atom; a jot.,,,,,,
Aceldama ,"n.) The potter's field, said to have lain south of Jerusalem, purchased with the bribe which Judas took for betraying his Master, and therefore called the field of blood. Fig.: A field of bloodshed.",,,,,,
Acentric ,a.) Not centered; without a center.,,,,,,
Acephal ,n.) One of the Acephala.,,,,,,
Acephala ,"n. pl.) That division of the Mollusca which includes the bivalve shells, like the clams and oysters; -- so called because they have no evident head. Formerly the group included the Tunicata, Brachiopoda, and sometimes the Bryozoa. See Mollusca.",,,,,,
Acephalan ,n.) Same as Acephal.,,,,,,
Acephalan ,a.) Belonging to the Acephala.,,,,,,
Acephali ,n. pl.) A fabulous people reported by ancient writers to have heads.,,,,,,
Acephali ,n. pl.) A Christian sect without a leader.,,,,,,
Acephali ,n. pl.) Bishops and certain clergymen not under regular diocesan control.,,,,,,
Acephali ,n. pl.) A class of levelers in the time of K. Henry I.,,,,,,
Acephalist ,n.) One who acknowledges no head or superior.,,,,,,
Acephalocyst ,"n.) A larval entozoon in the form of a subglobular or oval vesicle, or hydatid, filled with fluid, sometimes found in the tissues of man and the lower animals; -- so called from the absence of a head or visible organs on the vesicle. These cysts are the immature stages of certain tapeworms. Also applied to similar cysts of different origin.",,,,,,
Acephalocystic ,"a.) Pertaining to, or resembling, the acephalocysts.",,,,,,
Acephalous ,a.) Headless.,,,,,,
Acephalous ,a.) Without a distinct head; -- a term applied to bivalve mollusks.,,,,,,
Acephalous ,"a.) Having the style spring from the base, instead of from the apex, as is the case in certain ovaries.",,,,,,
Acephalous ,a.) Without a leader or chief.,,,,,,
Acephalous ,a.) Wanting the beginning.,,,,,,
Acephalous ,"a.) Deficient and the beginning, as a line of poetry.",,,,,,
Acerate ,n.) A combination of aceric acid with a salifiable base.,,,,,,
Acerate ,a.) Acerose; needle-shaped.,,,,,,
Acerb ,"a.) Sour, bitter, and harsh to the taste, as unripe fruit; sharp and harsh.",,,,,,
Acerbate ,v. t.) To sour; to imbitter; to irritate.,,,,,,
Acerbic ,a.) Sour or severe.,,,,,,
Acerbitude ,n.) Sourness and harshness.,,,,,,
Acerbity ,"n.) Sourness of taste, with bitterness and astringency, like that of unripe fruit.",,,,,,
Acerbity ,"n.) Harshness, bitterness, or severity; as, acerbity of temper, of language, of pain.",,,,,,
Aceric ,"a.) Pertaining to, or obtained from, the maple; as, aceric acid.",,,,,,
Acerose ,a.) Having the nature of chaff; chaffy.,,,,,,
Acerose ,"a.) Needle-shaped, having a sharp, rigid point, as the leaf of the pine.",,,,,,
Acerous ,a.) Same as Acerose.,,,,,,
Acerous ,"a.) Destitute of tentacles, as certain mollusks.",,,,,,
Acerous ,"a.) Without antennae, as some insects.",,,,,,
Acerval ,a.) Pertaining to a heap.,,,,,,
Acervate ,v. t.) To heap up.,,,,,,
Acervate ,"a.) Heaped, or growing in heaps, or closely compacted clusters.",,,,,,
Acervation ,n.) A heaping up; accumulation.,,,,,,
Acervative ,a.) Heaped up; tending to heap up.,,,,,,
Acervose ,a.) Full of heaps.,,,,,,
Acervuline ,a.) Resembling little heaps.,,,,,,
Acescence ,n.) Alt. of Acescency,,,,,,
Acescency ,n.) The quality of being acescent; the process of acetous fermentation; a moderate degree of sourness.,,,,,,
Acescent ,a.) Turning sour; readily becoming tart or acid; slightly sour.,,,,,,
Acescent ,n.) A substance liable to become sour.,,,,,,
Acetable ,n.) An acetabulum; or about one eighth of a pint.,,,,,,
Acetabular ,a.) Cup-shaped; saucer-shaped; acetabuliform.,,,,,,
Acetabulifera ,"n. pl.) The division of Cephalopoda in which the arms are furnished with cup-shaped suckers, as the cuttlefishes, squids, and octopus; the Dibranchiata. See Cephalopoda.",,,,,,
Acetabuliferous ,"a.) Furnished with fleshy cups for adhering to bodies, as cuttlefish, etc.",,,,,,
Acetabuliform ,"a.) Shaped like a shallow cup; saucer-shaped; as, an acetabuliform calyx.",,,,,,
Acetabulum ,"n.) A vinegar cup; socket of the hip bone; a measure of about one eighth of a pint, etc.",,,,,,
Acetabulum ,n.) The bony cup which receives the head of the thigh bone.,,,,,,
Acetabulum ,n.) The cavity in which the leg of an insect is inserted at its articulation with the body.,,,,,,
Acetabulum ,n.) A sucker of the sepia or cuttlefish and related animals.,,,,,,
Acetabulum ,n.) The large posterior sucker of the leeches.,,,,,,
Acetabulum ,n.) One of the lobes of the placenta in ruminating animals.,,,,,,
Acetal ,"n.) A limpid, colorless, inflammable liquid from the slow oxidation of alcohol under the influence of platinum black.",,,,,,
Acetaldehyde ,n.) Acetic aldehyde. See Aldehyde.,,,,,,
Acetamide ,"n.) A white crystalline solid, from ammonia by replacement of an equivalent of hydrogen by acetyl.",,,,,,
Acetanilide ,"n.) A compound of aniline with acetyl, used to allay fever or pain; -- called also antifebrine.",,,,,,
Acetarious ,"a.) Used in salads; as, acetarious plants.",,,,,,
Acetary ,"n.) An acid pulp in certain fruits, as the pear.",,,,,,
Acetate ,"n.) A salt formed by the union of acetic acid with a base or positive radical; as, acetate of lead, acetate of potash.",,,,,,
Acetated ,a.) Combined with acetic acid.,,,,,,
Acetic ,"a.) Of a pertaining to vinegar; producing vinegar; producing vinegar; as, acetic fermentation.",,,,,,
Acetic ,"a.) Pertaining to, containing, or derived from, acetyl, as acetic ether, acetic acid. The latter is the acid to which the sour taste of vinegar is due.",,,,,,
Acetification ,"n.) The act of making acetous or sour; the process of converting, or of becoming converted, into vinegar.",,,,,,
Acetifier ,n.) An apparatus for hastening acetification.,,,,,,
Acetified ,imp. & p. p.) of Acetify,,,,,,
Acetifying ,p. pr. & vb. n.) of Acetify,,,,,,
Acetify ,v. t.) To convert into acid or vinegar.,,,,,,
Acetify ,v. i.) To turn acid.,,,,,,
Acetimeter ,n.) An instrument for estimating the amount of acetic acid in vinegar or in any liquid containing acetic acid.,,,,,,
Acetimetry ,"n.) The act or method of ascertaining the strength of vinegar, or the proportion of acetic acid contained in it.",,,,,,
Acetin ,n.) A combination of acetic acid with glycerin.,,,,,,
Acetize ,v. i.) To acetify.,,,,,,
Acetometer ,n.) Same as Acetimeter.,,,,,,
Acetone ,"n.) A volatile liquid consisting of three parts of carbon, six of hydrogen, and one of oxygen; pyroacetic spirit, -- obtained by the distillation of certain acetates, or by the destructive distillation of citric acid, starch, sugar, or gum, with quicklime.",,,,,,
Acetonic ,"a.) Of or pertaining to acetone; as, acetonic bodies.",,,,,,
Acetose ,a.) Sour like vinegar; acetous.,,,,,,
Acetosity ,n.) The quality of being acetous; sourness.,,,,,,
Acetous ,a.) Having a sour taste; sour; acid.,,,,,,
Acetous ,"a.) Causing, or connected with, acetification; as, acetous fermentation.",,,,,,
Acetyl ,"n.) A complex, hypothetical radical, composed of two parts of carbon to three of hydrogen and one of oxygen. Its hydroxide is acetic acid.",,,,,,
Acetylene ,"n.) A gaseous compound of carbon and hydrogen, in the proportion of two atoms of the former to two of the latter. It is a colorless gas, with a peculiar, unpleasant odor, and is produced for use as an illuminating gas in a number of ways, but chiefly by the action of water on calcium carbide. Its light is very brilliant.",,,,,,
Ach ,n.) Alt. of Ache,,,,,,
Ache ,"n.) A name given to several species of plants; as, smallage, wild celery, parsley.",,,,,,
Achaean ,a.) Alt. of Achaian,,,,,,
Achaian ,"a.) Of or pertaining to Achaia in Greece; also, Grecian.",,,,,,
Achaian ,n.) A native of Achaia; a Greek.,,,,,,
Acharnement ,n.) Savage fierceness; ferocity.,,,,,,
Achate ,n.) An agate.,,,,,,
Achate ,n.) Purchase; bargaining.,,,,,,
Achate ,n.) Provisions. Same as Cates.,,,,,,
Achatina ,"n.) A genus of land snails, often large, common in the warm parts of America and Africa.",,,,,,
Achatour ,n.) Purveyor; acater.,,,,,,
Ache ,"v. i.) Continued pain, as distinguished from sudden twinges, or spasmodic pain. ""Such an ache in my bones.""",,,,,,
Ached ,imp. & p. p.) of Ache,,,,,,
Aching ,p. pr. & vb. n.) of Ache,,,,,,
Ache ,"v. i.) To suffer pain; to have, or be in, pain, or in continued pain; to be distressed.",,,,,,
Achean ,"a & n.) See Achaean, Achaian.",,,,,,
Achene ,n.) Alt. of Achenium,,,,,,
Achenium ,"n.) A small, dry, indehiscent fruit, containing a single seed, as in the buttercup; -- called a naked seed by the earlier botanists.",,,,,,
Achenial ,a.) Pertaining to an achene.,,,,,,
Acheron ,"n.) A river in the Nether World or infernal regions; also, the infernal regions themselves. By some of the English poets it was supposed to be a flaming lake or gulf.",,,,,,
Acherontic ,"a.) Of or pertaining to Acheron; infernal; hence, dismal, gloomy; moribund.",,,,,,
Achievable ,a.) Capable of being achieved.,,,,,,
Achievance ,n.) Achievement.,,,,,,
Achieved ,imp. & p. p.) of Achieve,,,,,,
Achieving ,p. pr. & vb. n.) of Achieve,,,,,,
Achieve ,"v. t.) To carry on to a final close; to bring out into a perfected state; to accomplish; to perform; -- as, to achieve a feat, an exploit, an enterprise.",,,,,,
Achieve ,"v. t.) To obtain, or gain, as the result of exertion; to succeed in gaining; to win.",,,,,,
